fecha,serial,evento,responsable_nuevo,area_nueva,cargo_nueva,ubicacion_nueva,estado_nuevo,proveedor_nuevo,empresa_nueva,observaciones

2026-09-23,5CG20953TN,CAMBIO_USUARIO,DANIEL,TIC,TIC,CALLE 99,SOPORTE,,AYSSERVIALCO
2026-09-23,5CG20953TN,CAMBIO_USUARIO,DANIEL,TIC,TIC,CALLE 99,SOPORTE,AYS,SERVIALCO
2026-09-23,2PFCLB3,CAMBIO_USUARIO,DANIEL,TIC,TIC,calle 99,BODEGA,AYS,SERVIALCO,se devolvió a soporte por parte de Jhonatan Martinez - Analista de Mesa de Servicio 
2026-09-24,2PFCLB3,CAMBIO_USUARIO,ALEJANDRO,TIC,TECNICO SISTEMAS,CALLE 99,BODEGA,AYS,SERVIALCO,se devolvió a soporte por parte de Jhonatan Martinez - Analista de Mesa de Servicio 
2026-09-23,2PFCLB3,CAMBIO_USUARIO,ALEJANDRO,TIC,TECNICO SISTEMAS,calle 99,DEVUELTO,AYS,SERVIALCO
2026-09-23,2PFCLB3,CAMBIO_USUARIO,STOC TI,TIC,TIC,CALLE 99,ASIGNADO,AYS,CONSTRUSALCO,CUSTODIA TI
2026-09-25,2PFCLB3,CAMBIO_USUARIO,ALEJANDRO,TIC,TECNICO SISTEMAS,CALLE 99,BODEGA,AYS,CONSTRUSALCO,CUSTODIA TI
2026-09-24,AS25153,CAMBIO_USUARIO,DANIEL,,TECNICO SISTEMAS,CALLE 99,BODEGA,AYS,SERVIALCO,Devuelto a TI
2026-09-24,AS25153,CAMBIO_USUARIO,WILLYS GUILLERMO PRASCA MATAGIRA,OPERACIONES,PM JUNIOR,QUINDIO,ASIGNADO,AYS,SERVIALCO,EQUIPO ENVIADO A QUINDIO PERO DEBE SER DEVUELTO AL AREA DE TI EN BOGOTA
2026-09-24,AS25153,CAMBIO_USUARIO,WILLYS GUILLERMO PRASCA MATAGIRA,OPERACIONES,PM JUNIOR,QUINDIO,ASIGNADO,AYS,SERVIALCO,EQUIPO ENVIADO A QUINDIO PERO DEBE SER DEVUELTO AL AREA DE TI EN BOGOTA
2026-09-17,AS25153,CAMBIO_USUARIO,WILLYS GUILLERMO PRASCA MATAGIRA,OPERACIONES,PM JUNIOR,QUINDIO,ASIGNADO,AYS,SERVIALCO,EQUIPO ENVIADO A QUINDIO PERO DEBE SER DEVUELTO AL AREA DE TI EN BOGOTA
2026-09-16,AS25153,CAMBIO_USUARIO,WILLYS GUILLERMO PRASCA MATAGIRA,OPERACIONES,PM JUNIOR,QUINDIO,ASIGNADO,AYS,SERVIALCO,EQUIPO ENVIADO A QUINDIO PERO DEBE SER DEVUELTO AL AREA DE TI EN BOGOTA
2026-09-15,5CD1018ZJT,CAMBIO_USUARIO,STOC TI,TIC,TIC,CALLE 99,BODEGA,UNICAT,UNICAT,EL SEÑOR LEON RAMIREZ LUIS EDUARDO RENUNCIO
2026-09-24,5CD1018ZJT,CAMBIO_USUARIO,LEON RAMIREZ LUIS EDUARDO,MESA FNA,GESTOR DE MEJORA CONTINUA,FNA,ASIGNADO,UNICAT,UNICAT
2026-09-14,5CD1018ZJT,CAMBIO_USUARIO,STOC TI,TIC,TIC,CALLE 99,BODEGA,UNICAT,UNICAT,EL SEÑOR LEON RAMIREZ LUIS EDUARDO RENUNCIO
2026-09-24,AS25153,CAMBIO_USUARIO,STOC TI,TIC,TIC,CALLE 99,ASIGNADO,AYS,SERVIALCO,CUSTODIA ELVIS DE TI
2025-06-13,AS27300,ASIGNACION_INICIAL,STOC TI,FINANCIERA,CONTROLLER,BOGOTA CALLE 99,ASIGNADO,AYS,SERVIALCO,Asignación inicial previa a la actualización web
